H	M
29999.33496	747.96047
29931.6875	663.03095
29883.14258	757.53968
29795.54688	894.86394
29703.93652	796.67155
29601.41211	845.9495
29503.19434	742.38751
29409.52148	719.1945
29315.70313	847.96172
29231.88867	790.10064
29143.23242	755.71068
29039.60547	873.60776
28940.87402	835.76242
28837.11914	753.32547
28733.32715	818.86863
28634.50293	790.20561
28530.58203	727.22217
28441.49023	857.5094
28352.37305	758.31002
28253.21191	707.46569
28148.96777	747.97127
28044.69727	756.72772
27950.32813	838.1984
27855.70117	811.28284
27756.1709	757.50019
27651.58398	742.75707
27556.81152	835.16197
27456.93457	758.97924
27351.89355	764.6139
27257.04883	927.29285
27157.26563	777.61637
27057.45801	723.99443
26947.74512	797.47243
26833.05762	827.3645
26723.30273	761.54922
26623.4541	767.80854
26523.68848	850.42613
26428.9375	799.45671
26339.18555	762.85074
26234.48438	791.54777
26134.7041	750.36186
26035.0293	871.42981
25930.3125	727.07937
25835.52148	746.45802
25735.84863	777.66409
25640.92578	792.65337
25546.12207	755.71513
25446.37305	814.97583
25351.54102	795.68875
25251.75391	665.62916
25157.10059	811.92127
25057.60156	816.65971
24952.86914	678.58759
24863.04004	808.89933
24758.2627	831.94445
24638.53809	792.45429
24553.69824	781.98343
24468.92383	847.10287
24364.25195	801.56332
24269.52246	809.99383
24164.71484	813.22117
24064.9043	833.30186
23965.23926	779.62749
23850.56738	743.83003
23740.86426	727.55983
23640.98828	752.61112
23546.02441	794.91059
23441.31055	742.05384
23336.66406	823.53351
23236.83789	784.76489
23141.99902	709.34388
23057.29883	797.84224
22962.40039	800.64003
22862.27344	748.28644
22757.31055	801.25335
22637.48438	778.9609
22527.70605	791.95313
22427.8418	746.78588
22327.99512	775.04415
22228.28711	792.53559
22133.50195	849.26764
22033.74805	729.09386
21924.05371	805.83021
21824.22852	805.33144
21734.43262	806.32851
21649.65234	779.42065
21559.88477	781.86275
21455.10938	805.01896
21360.24219	721.84475
21265.39355	791.17425
21165.64355	766.07511
21070.91406	764.67747
20961.15039	743.28548
20856.41699	817.79665
20756.61523	794.69652
20641.95313	785.4621
20532.3877	791.89062
20437.73438	814.79138
20337.99512	781.25923
20238.20996	775.9756
20148.46289	748.86971
20053.71094	818.88721
19963.90918	747.85659
19879.11621	714.32385
19779.34766	796.22364
19674.57422	844.24716
19569.71289	746.7647
19474.9248	809.35911
19385.27637	799.37635
19285.48633	751.92183
19180.66016	761.37892
19080.91602	780.03141
18901.25977	759.60139
18836.50781	798.51022
18736.74121	747.61074
18641.95117	787.06574
18537.13867	849.7035
18447.23828	798.45175
18352.51367	755.82998
18247.68555	853.99413
18157.77344	809.3487
18063.02246	792.08022
17963.24121	758.09624
17868.35254	816.36775
17763.53418	800.43101
17663.83984	748.16954
17564.00391	803.79286
17454.0791	735.31193
17359.25488	781.89696
17264.54688	804.12175
17169.89941	795.73939
17085.12109	775.53202
16990.33203	801.17842
16890.52051	770.33718
16785.66699	776.72531
16685.875	744.15942
16581.12598	774.20311
16466.375	832.6035
16371.58496	826.73079
16266.7998	773.1695
16152.02783	811.54315
16067.29639	861.01938
15977.71436	793.2918
15868.04053	771.46554
15768.2085	839.12965
15668.37939	798.75044
15563.43213	770.85085
15473.52832	789.4685
15378.65186	819.90779
15273.66113	766.42305
15173.69873	795.8872
15068.76416	764.3247
14978.88867	816.78487
14774.33203	730.22612
14704.46289	806.25141
14594.63525	777.1226
14494.67725	731.1542
14299.74951	850.50993
14239.90967	856.62517
14134.9458	772.12032
14039.99121	786.82359
13940.15771	832.61162
13840.23389	785.53615
13745.16309	789.26197
13650.06055	796.46043
13555.09668	794.90955
13450.18164	764.1003
13350.29688	755.61128
13255.43018	764.98217
13155.50586	812.84075
13060.56934	766.44739
12960.60303	764.41812
12850.7583	799.18826
12745.86377	759.8853
12645.91357	737.97399
12541.13672	786.96979
12446.31738	781.96143
12356.41797	760.99579
12261.49561	769.24937
12166.59326	798.48216
12071.71191	785.04382
11986.78857	780.86775
11886.88281	779.98504
11786.97168	799.65729
11687.09912	794.69565
11592.23633	791.25148
11502.38672	812.18785
11402.67676	779.67096
11302.84961	801.9156
11197.96729	762.75031
11088.19189	802.42361
10988.3042	797.40177
10898.38037	794.12253
10803.51172	825.89904
10703.67676	790.4633
10603.70361	772.61649
10418.83496	762.99754
10373.84814	807.19154
10273.98535	807.66877
10164.17773	783.50935
10054.29395	807.69539
9954.47363	794.64672
9859.58838	802.38913
9769.604	786.42956
9689.76318	787.10251
9584.80518	815.45729
9474.78857	753.50765
9374.98877	761.22769
9285.08545	803.24632
9199.94385	747.57229
9094.7168	737.65714
8999.59473	818.16228
8909.64209	785.92735
8799.73438	736.80858
8694.80225	757.83846
8599.90039	789.19073
8499.97119	742.23643
8400.03223	773.9173
8295.19434	792.60451
8200.27441	755.00083
8110.28833	820.48739
8000.45752	764.45297
7895.57349	765.85379
7800.65918	768.30578
7700.79492	764.8328
7610.7627	743.96241
7510.86206	833.33586
7406.08008	736.03331
7311.16211	749.89797
7206.24512	771.68214
7101.31909	770.44049
6986.3894	781.83844
6881.67432	742.68781
6787.10107	812.35538
6692.31396	697.72768
6607.34863	785.91892
6502.37256	767.59919
6402.42529	732.11719
6317.4895	725.77733
6127.72607	740.95008
6072.74097	764.95677
5987.85205	741.3613
5902.92505	699.38457
5807.99146	726.04701
5718.15747	764.45369
5603.30273	738.82556
5498.39868	717.81407
5413.50073	754.3532
5313.50977	744.81729
5213.54932	664.20933
5118.60571	729.81319
5003.73047	735.00556
4893.91162	707.31368
4813.94629	684.69467
4714.08472	711.31022
4609.0791	730.35753
4508.85547	651.57785
4398.72681	714.94873
4303.76074	692.71313
4208.83447	677.12871
4108.88831	624.09263
4008.95764	665.81781
3908.97949	701.86341
3813.95203	642.46764
3709.00134	636.10442
3609.11804	624.62398
3514.27173	641.12739
3414.3634	622.16555
3299.39832	607.80931
3204.44714	623.70858
3119.4176	598.75906
3014.3916	587.41424
2914.3623	572.83348
2814.41443	527.15778
2714.48779	551.57015
2609.48596	534.92649
2499.54248	526.27143
2404.6073	542.60091
2309.84021	494.49279
2110.09668	512.39078
2050.12958	518.25037
1955.00616	490.82033
1860.00409	463.45339
1755.0517	472.15623
1665.03778	498.64025
1570.02502	446.55013
1469.99567	449.77928
1379.97906	417.995
1294.91608	402.40896
