H	M
9999.67383	8.99407E-5
9997.53467	8.75745E-5
9973.59424	8.64115E-5
9943.70752	8.85517E-5
9930.82227	8.84216E-5
9883.88672	8.7147E-5
9872.00977	8.71647E-5
9847.10596	8.72801E-5
9803.98242	8.93048E-5
9769.24219	8.78929E-5
9738.28711	8.73249E-5
9705.31982	8.59942E-5
9670.56494	8.67228E-5
9640.72754	8.82007E-5
9610.63525	8.69892E-5
9596.66211	8.67982E-5
9569.63525	8.68893E-5
9543.73193	8.59528E-5
9500.84229	8.78994E-5
9464.96533	8.4725E-5
9431.98828	8.65793E-5
9403.16309	8.60722E-5
9367.22266	8.5258E-5
9353.27148	8.50856E-5
9327.31348	8.46653E-5
9302.354	8.48457E-5
9255.42236	8.77587E-5
9239.40625	8.60256E-5
9192.65918	8.42904E-5
9162.51318	8.62022E-5
9126.32666	8.38676E-5
9091.16016	8.42434E-5
9052.05566	8.54593E-5
9018.13721	8.37995E-5
9004.11084	8.22295E-5
8979.25977	8.73044E-5
8952.36816	8.45084E-5
8925.42236	8.54547E-5
8878.45215	8.58455E-5
8845.52881	8.39005E-5
8813.52588	8.37606E-5
8780.53564	8.46926E-5
8746.69971	8.53869E-5
8711.81006	8.46778E-5
8697.85938	8.20571E-5
8672.78223	8.45834E-5
8629.88184	8.36997E-5
8615.84277	8.04416E-5
8568.95313	8.29867E-5
8534.12891	8.0798E-5
8520.13428	8.32623E-5
8494.22754	8.36694E-5
8447.38818	8.16944E-5
8435.40674	8.40838E-5
8391.38525	8.38481E-5
8377.38818	8.11767E-5
8333.51758	8.35878E-5
8317.43262	8.08832E-5
8290.45898	8.30859E-5
8244.58887	8.32953E-5
8208.76074	8.26615E-5
8195.81055	8.27926E-5
8150.77222	8.07853E-5
8117.78613	8.18077E-5
8088.78979	8.36496E-5
8057.99219	8.21326E-5
8025.94946	8.08352E-5
8011.99292	8.0332E-5
7966.28198	8.03344E-5
7932.26636	8.06996E-5
7898.43896	8.02909E-5
7884.38721	8.01489E-5
7839.53003	8.13272E-5
7824.57886	7.98131E-5
7800.53735	7.93995E-5
7777.54785	8.0341E-5
7754.62134	8.07777E-5
7711.74146	8.06868E-5
7677.75122	8.22248E-5
7661.70996	7.9035E-5
7616.8103	7.84241E-5
7582.86621	8.03582E-5
7565.88306	7.87578E-5
7540.98804	7.74416E-5
7516.92139	7.95271E-5
7470.97046	7.73694E-5
7456.00513	8.02232E-5
7412.12183	7.90761E-5
7378.20776	7.86088E-5
7348.16528	7.74928E-5
7311.28247	7.75294E-5
7280.34131	7.82504E-5
7246.40601	7.8867E-5
7211.3894	7.86986E-5
7196.46729	7.86554E-5
7152.49683	7.8757E-5
7138.40015	7.88483E-5
