H	M
-1055.15719	-0.00311
-1020.56187	-0.00313
-985.96656	-0.00322
-951.37124	-0.00305
-916.77592	-0.00306
-882.1806	-0.00311
-847.58528	-0.00308
-812.98997	-0.00305
-778.39465	-0.00304
-743.79933	-0.00301
-709.20401	-0.00327
-674.6087	-0.00336
-640.01338	-0.00313
-605.41806	-0.00324
-570.82274	-0.00303
-536.22742	-0.00313
-501.63211	-0.00316
-467.03679	-0.00314
-432.44147	-0.00302
-397.84615	-0.00315
-363.25084	-0.00332
-328.65552	-0.00309
-294.0602	-0.00295
-259.46488	-0.00295
-224.86957	-0.00293
-190.27425	-0.00301
-155.67893	-0.00319
-121.08361	-0.00307
-86.48829	-0.00321
-51.89298	-0.00325
-17.29766	-0.00321
17.29766	-0.00305
51.89298	-0.00318
86.48829	-0.0032
121.08361	-0.00329
155.67893	-0.00323
190.27425	-0.00311
224.86957	-0.00308
259.46488	-0.00307
294.0602	-0.00124
328.65552	3.6413E-4
363.25084	7.29348E-4
397.84615	0.00124
432.44147	0.0017
467.03679	0.00209
501.63211	0.00254
536.22742	0.00253
570.82274	0.00288
605.41806	0.00281
640.01338	0.00269
674.6087	0.00312
709.20401	0.00328
743.79933	0.00319
778.39465	0.00298
812.98997	0.00296
847.58528	0.00314
882.1806	0.00321
916.77592	0.0032
951.37124	0.00311
985.96656	0.00292
1020.56187	0.00297
1055.15719	0.00311
1055.15719	0.00293
1020.56187	0.00294
985.96656	0.00272
951.37124	0.00282
916.77592	0.00295
882.1806	0.00313
847.58528	0.00318
812.98997	0.00322
778.39465	0.00307
743.79933	0.00308
709.20401	0.00304
674.6087	0.0027
640.01338	0.00287
605.41806	0.00291
570.82274	0.00273
536.22742	0.00274
501.63211	0.00299
467.03679	0.00308
432.44147	0.00302
397.84615	0.00304
363.25084	0.00296
328.65552	0.00293
294.0602	0.00294
259.46488	0.00297
224.86957	0.00299
190.27425	0.00288
155.67893	0.00288
121.08361	0.00306
86.48829	0.00302
51.89298	0.00296
17.29766	0.00311
-17.29766	0.00327
-51.89298	0.00305
-86.48829	0.00286
-121.08361	0.00309
-155.67893	0.00279
-190.27425	0.00305
-224.86957	0.00326
-259.46488	0.00276
-294.0602	4.72826E-4
-328.65552	-7.61957E-4
-363.25084	-0.00107
-397.84615	-0.00149
-432.44147	-0.00175
-467.03679	-0.00209
-501.63211	-0.00246
-536.22742	-0.00276
-570.82274	-0.00302
-605.41806	-0.00315
-640.01338	-0.00322
-674.6087	-0.00291
-709.20401	-0.003
-743.79933	-0.00298
-778.39465	-0.00289
-812.98997	-0.00299
-847.58528	-0.00324
-882.1806	-0.0031
-916.77592	-0.00318
-951.37124	-0.00324
-985.96656	-0.00308
-1020.56187	-0.00305
-1055.15719	-0.00326
