H	M
-6500	0.00452
-6456.52174	0.00454
-6413.04348	0.0044
-6369.56522	0.00439
-6326.08696	0.00444
-6282.6087	0.0044
-6239.13043	0.00437
-6195.65217	0.00442
-6152.17391	0.00442
-6108.69565	0.00441
-6065.21739	0.00444
-6021.73913	0.00443
-5978.26087	0.00445
-5934.78261	0.00442
-5891.30435	0.0044
-5847.82609	0.00439
-5804.34783	0.0044
-5760.86957	0.00443
-5717.3913	0.00445
-5673.91304	0.00444
-5630.43478	0.00442
-5586.95652	0.00441
-5543.47826	0.00447
-5500	0.00443
-5456.52174	0.00442
-5413.04348	0.00443
-5369.56522	0.00441
-5326.08696	0.00438
-5282.6087	0.0044
-5239.13043	0.00442
-5195.65217	0.00442
-5152.17391	0.00442
-5108.69565	0.00437
-5065.21739	0.00438
-5021.73913	0.00439
-4978.26087	0.00441
-4934.78261	0.0044
-4891.30435	0.00438
-4847.82609	0.00441
-4804.34783	0.00443
-4760.86957	0.00445
-4717.3913	0.00444
-4673.91304	0.00443
-4630.43478	0.00441
-4586.95652	0.00438
-4543.47826	0.00439
-4500	0.0044
-4456.52174	0.00441
-4413.04348	0.0044
-4369.56522	0.0044
-4326.08696	0.00445
-4282.6087	0.00438
-4239.13043	0.00438
-4195.65217	0.00441
-4152.17391	0.00444
-4108.69565	0.0044
-4065.21739	0.00436
-4021.73913	0.00438
-3978.26087	0.00437
-3934.78261	0.00438
-3891.30435	0.00442
-3847.82609	0.0044
-3804.34783	0.00437
-3760.86957	0.00438
-3717.3913	0.00439
-3673.91304	0.00441
-3630.43478	0.00441
-3586.95652	0.00438
-3543.47826	0.00439
-3500	0.00435
-3456.52174	0.00438
-3413.04348	0.00441
-3369.56522	0.00443
-3326.08696	0.00441
-3282.6087	0.0044
-3239.13043	0.00441
-3195.65217	0.00442
-3152.17391	0.00441
-3108.69565	0.00442
-3065.21739	0.00445
-3021.73913	0.00442
-2978.26087	0.0044
-2934.78261	0.00438
-2891.30435	0.00438
-2847.82609	0.00439
-2804.34783	0.00434
-2760.86957	0.00435
-2717.3913	0.00438
-2673.91304	0.00444
-2630.43478	0.00447
-2586.95652	0.00444
-2543.47826	0.00439
-2500	0.00437
-2456.52174	0.00433
-2413.04348	0.00437
-2369.56522	0.0044
-2326.08696	0.00439
-2282.6087	0.00435
-2239.13043	0.00431
-2195.65217	0.00435
-2152.17391	0.00434
-2108.69565	0.00435
-2065.21739	0.00436
-2021.73913	0.00435
-1978.26087	0.00432
-1934.78261	0.0043
-1891.30435	0.00433
-1847.82609	0.00436
-1804.34783	0.00438
-1760.86957	0.00434
-1717.3913	0.00433
-1673.91304	0.00429
-1630.43478	0.00432
-1586.95652	0.00431
-1543.47826	0.0043
-1500	0.00425
-1456.52174	0.00422
-1413.04348	0.00421
-1369.56522	0.004
-1326.08696	0.00347
-1282.6087	0.00285
-1239.13043	0.00251
-1195.65217	0.00231
-1152.17391	0.00215
-1108.69565	0.00203
-1065.21739	0.00193
-1021.73913	0.00183
-978.26087	0.00176
-934.78261	0.00164
-891.30435	0.00156
-847.82609	0.00152
-804.34783	0.00145
-760.86957	0.00139
-717.3913	0.00135
-673.91304	0.00126
-630.43478	0.0012
-586.95652	0.00116
-543.47826	0.00109
-500	0.00104
-456.52174	9.74827E-4
-413.04348	9.60912E-4
-369.56522	9.46997E-4
-326.08696	9.16303E-4
-282.6087	8.48697E-4
-239.13043	7.87802E-4
-195.65217	7.26907E-4
-152.17391	6.59301E-4
-108.69565	6.35319E-4
-65.21739	5.71068E-4
-21.73913	5.37019E-4
21.73913	5.16393E-4
65.21739	3.04491E-4
108.69565	2.23462E-4
152.17391	1.89413E-4
195.65217	6.14038E-5
239.13043	4.07774E-5
282.6087	4.69966E-5
326.08696	1.29474E-5
369.56522	-4.1236E-5
413.04348	-1.89379E-4
456.52174	-1.29469E-4
500	-1.36672E-4
543.47826	-1.84144E-4
586.95652	-2.58462E-4
630.43478	-3.12645E-4
673.91304	-3.39983E-4
717.3913	-3.33764E-4
760.86957	-4.0137E-4
804.34783	-4.35419E-4
847.82609	-4.62757E-4
891.30435	-4.83384E-4
934.78261	-5.57701E-4
978.26087	-5.91751E-4
1021.73913	-6.19088E-4
