t	dtet
-1	0
-0.9	3.72671E-8
-0.8	3.58696E-7
-0.7	-1.3354E-7
-0.6	4.81366E-7
-0.5	7.15839E-7
-0.4	5.97826E-7
-0.3	5.88509E-7
-0.2	4.13043E-7
-0.1	1.20031E-6
0	1.86335E-6
0.1	2.50932E-6
0.2	3.07764E-6
0.3	4.74845E-6
0.4	8.3028E-6
0.5	1.25683E-5
0.6	1.76863E-5
0.7	2.45248E-5
0.8	3.16848E-5
0.9	3.5705E-5
1	3.6736E-5
1.1	3.72717E-5
1.2	3.71273E-5
1.3	3.60823E-5
1.4	3.62174E-5
1.5	3.4278E-5
1.6	3.32143E-5
1.7	3.20047E-5
1.8	3.05202E-5
1.9	3.04224E-5
2	2.89037E-5
2.1	2.88183E-5
2.2	2.80668E-5
2.3	2.68059E-5
2.4	2.64581E-5
2.5	2.64161E-5
2.6	2.57283E-5
2.7	2.59891E-5
2.8	2.4896E-5
2.9	2.35404E-5
3	2.39441E-5
3.1	2.38509E-5
3.2	2.38075E-5
3.3	2.26491E-5
3.4	2.20357E-5
3.5	2.26025E-5
3.6	2.26817E-5
3.7	2.22624E-5
3.8	2.1955E-5
3.9	2.19006E-5
4	2.1427E-5
6	2.11537E-5
8	1.9323E-5
10	1.70124E-5
12	1.83214E-5
14	1.72733E-5
16	1.46165E-5
18	1.49425E-5
20	1.41708E-5
22	1.32019E-5
24	1.15512E-5
26	1.25109E-5
28	1.23416E-5
30	9.84317E-6
32	9.07764E-6
34	9.25E-6
36	7.00621E-6
38	8.0264E-6
40	5.68323E-6
42	5.51553E-6
44	6.06366E-6
46	6.54348E-6
48	7.35093E-6
50	6.29348E-6
52	7.24224E-6
54	6.1087E-6
56	5.35248E-6
58	5.13199E-6
60	4.30901E-6
62	5.09783E-6
64	4.92391E-6
66	5.23758E-6
68	6.36801E-6
70	5.52019E-6
72	5.95342E-6
74	6.14286E-6
76	6.35093E-6
78	7.50776E-6
80	7.76242E-6
82	9.10714E-6
84	8.55901E-6
86	8.64441E-6
88	9.57919E-6
90	9.75776E-6
92	9.68944E-6
94	9.52019E-6
96	1.13789E-5
98	9.99068E-6
100	9.77019E-6
102	9.83385E-6
104	9.88975E-6
106	9.86801E-6
108	1.00342E-5
110	9.63043E-6
112	8.57764E-6
114	8.64752E-6
116	6.1646E-6
118	7.16925E-6
120	7.04503E-6
122	7.67236E-6
124	7.59472E-6
126	6.89286E-6
128	6.46273E-6
130	6.10093E-6
132	5.16615E-6
134	5.64441E-6
136	4.81832E-6
138	6.34627E-6
140	6.25621E-6
142	5.72205E-6
144	5.17857E-6
146	6.17081E-6
148	4.69565E-6
150	5.60248E-6
152	4.7764E-6
154	4.82764E-6
156	5.16925E-6
158	6.13043E-6
160	5.9177E-6
162	6.69876E-6
164	5.7236E-6
166	5.85559E-6
168	6.15373E-6
170	6.38975E-6
172	7.62578E-6
174	6.18478E-6
176	4.9177E-6
178	6.2236E-6
180	5.80745E-6
182	6.18634E-6
184	5.65062E-6
186	5.92081E-6
188	7.44099E-6
190	8.04658E-6
192	5.15994E-6
194	6.12733E-6
196	7.32919E-6
198	7.67702E-6
200	6.95807E-6
202	5.67391E-6
204	7.14907E-6
206	7.13975E-6
208	6.19876E-6
210	5.81366E-6
212	5.96118E-6
214	6.32764E-6
216	3.84472E-6
218	5.45031E-6
220	5.04658E-6
222	5.30124E-6
224	6.55124E-6
226	5.54814E-6
228	3.33851E-6
230	4.68944E-6
232	4.15994E-6
234	4.87422E-6
236	4.03882E-6
238	4.5854E-6
240	5.44876E-6
242	3.51242E-6
244	5.17547E-6
246	5.89596E-6
248	4.81832E-6
250	5.58075E-6
252	4.79037E-6
254	3.66304E-6
256	5.30435E-6
258	4.78727E-6
260	5.45497E-6
262	4.92391E-6
264	4.50621E-6
266	4.9472E-6
268	6.56056E-6
270	4.74224E-6
272	6.39286E-6
274	6.24379E-6
276	5.4736E-6
278	4.53261E-6
280	5.43478E-6
282	4.6413E-6
284	5.35714E-6
286	5.42547E-6
288	6.05745E-6
290	5.42702E-6
292	3.98913E-6
294	4.14752E-6
296	5.61025E-6
298	3.68478E-6
300	4.47826E-6
302	5.24689E-6
304	5.03106E-6
306	5.96894E-6
308	3.90062E-6
310	5.15528E-6
312	4.61646E-6
314	3.70963E-6
316	3.06211E-6
318	2.4736E-6
320	2.95807E-6
322	3.63665E-6
324	4.27795E-6
326	4.30435E-6
328	3.62578E-6
330	3.48447E-6
332	3.41925E-6
334	3.47826E-6
336	3.59161E-6
338	3.0295E-6
340	3.70342E-6
342	2.54193E-6
344	4.39286E-6
346	4.02795E-6
348	5.46894E-6
350	3.9736E-6
352	4.70342E-6
354	3.9441E-6
356	2.75466E-6
358	3.81211E-6
360	4.71118E-6
362	3.6413E-6
364	4.27329E-6
366	2.32143E-6
368	3.18789E-6
370	4.4177E-6
372	3.75621E-6
374	4.54814E-6
376	4.1382E-6
378	4.06832E-6
380	3.93168E-6
382	3.09938E-6
384	3.6972E-6
386	3.88354E-6
388	3.42857E-6
390	3.02484E-6
392	4.16149E-6
394	3.90528E-6
396	4.48758E-6
398	4.27329E-6
400	3.5823E-6
402	4.46894E-6
404	2.31056E-6
406	1.85093E-6
408	2.32298E-6
410	4.1677E-6
412	3.78261E-6
414	4.18789E-6
416	2.72826E-6
418	3.59783E-6
420	4.33696E-6
422	2.71273E-6
424	3.54658E-6
426	2.56832E-6
428	1.09006E-6
430	1.90373E-6
432	3.02174E-6
434	3.50311E-6
436	2.3882E-6
438	1.62267E-6
440	2.74224E-6
442	4.03261E-6
444	3.65683E-6
446	2.18789E-6
448	2.6677E-6
450	3.48602E-6
452	3.36801E-6
454	3.1087E-6
456	3.87888E-6
458	3.14907E-6
460	3.32298E-6
462	2.77019E-6
464	2.89286E-6
466	3.25932E-6
468	2.44565E-6
470	2.3618E-6
472	3.26708E-6
474	3.52484E-6
476	3.29969E-6
478	3.3028E-6
480	4.49068E-6
482	3.3059E-6
484	3.98758E-6
486	2.1941E-6
488	3.07143E-6
490	3.06832E-6
492	3.00932E-6
494	2.65528E-6
496	1.03571E-6
498	3.07919E-6
500	2.95963E-6
520	1.9472E-6
540	1.79969E-6
560	2.51242E-6
580	4.56056E-6
600	1.06832E-6
620	1.92547E-6
640	2.73447E-6
660	2.02174E-6
680	2.6941E-6
700	1.63354E-6
720	2.64441E-6
740	1.86025E-6
760	1.96118E-6
780	1.51398E-6
800	1.55435E-6
820	1.99689E-6
840	1.71739E-6
860	2.61957E-6
880	1.67547E-6
900	6.22671E-7
920	4.87578E-7
940	7.5E-7
960	9.51863E-7
980	1.67081E-6
1000	2.02174E-6
1020	2.1646E-6
1040	-5.74534E-8
1060	1.28106E-6
1080	1.06056E-6
1100	7.81056E-7
1120	1.38354E-6
1140	1.33075E-6
1160	1.20031E-6
1180	1.15994E-6
1200	7.68634E-7
1220	1.15683E-6
1240	5.88509E-7
1260	1.43323E-6
1280	1.6382E-6
1300	1.71584E-6
1320	1.43634E-6
1340	1.11491E-6
1360	2.25E-6
1380	5.46584E-7
1400	2.01087E-6
1420	8.75776E-7
1440	-1.8882E-6
1460	2.90373E-7
1480	1.15839E-6
1500	3.08075E-6
1520	-1.30901E-6
1540	7.91925E-7
1560	-1.04969E-6
1580	1.0559E-6
1600	4.70497E-7
1620	1.57919E-6
1640	3.72671E-8
1660	2.73758E-6
1680	6.3354E-7
1700	4.65839E-7
1720	1.07143E-7
1740	5.35714E-7
1760	-2.93478E-7
1780	5.29503E-7
1800	-7.23602E-7
1820	-5.74534E-8
1840	-8.64907E-7
1860	-7.88379E-7
