t	dtet
-1	0
-0.9	1.51044E-7
-0.8	1.98438E-6
-0.7	5.46875E-7
-0.6	9.375E-8
-0.5	4.63544E-7
-0.4	-5E-7
-0.3	-1.84896E-6
-0.2	-4.89063E-6
-0.1	-1.06563E-5
0	-2.04375E-5
0.1	-3.54323E-5
0.2	-5.29323E-5
0.3	-7.44739E-5
0.4	-1.01328E-4
0.5	-1.29047E-4
0.6	-1.56974E-4
0.7	-1.84063E-4
0.8	-2.05969E-4
0.9	-2.18922E-4
1	-2.30146E-4
1.1	-2.33005E-4
1.2	-2.30505E-4
1.3	-2.24005E-4
1.4	-2.19797E-4
1.5	-2.16146E-4
1.6	-2.10094E-4
1.7	-2.03521E-4
1.8	-1.96786E-4
1.9	-1.92083E-4
2	-1.92917E-4
2.1	-1.89411E-4
2.2	-1.86557E-4
2.3	-1.84219E-4
2.4	-1.82635E-4
2.5	-1.78411E-4
2.6	-1.77026E-4
2.7	-1.75531E-4
2.8	-1.72531E-4
2.9	-1.72755E-4
3	-1.70208E-4
3.1	-1.6876E-4
3.2	-1.66083E-4
3.3	-1.67057E-4
3.4	-1.67219E-4
3.5	-1.65542E-4
3.6	-1.65417E-4
3.7	-1.65364E-4
3.8	-1.62578E-4
3.9	-1.62016E-4
4	-1.60922E-4
6	-1.57005E-4
8	-1.55411E-4
10	-1.65391E-4
12	-1.66953E-4
14	-1.61146E-4
16	-1.57672E-4
18	-1.54E-4
20	-1.52635E-4
22	-1.50167E-4
24	-1.44953E-4
26	-1.44016E-4
28	-1.43422E-4
30	-1.41781E-4
32	-1.39792E-4
34	-1.3637E-4
36	-1.35073E-4
38	-1.305E-4
40	-1.27375E-4
42	-1.25063E-4
44	-1.22677E-4
46	-1.16583E-4
48	-1.14406E-4
50	-1.12182E-4
52	-1.09557E-4
54	-1.06219E-4
56	-1.04114E-4
58	-1.0126E-4
60	-9.64845E-5
62	-9.20156E-5
64	-8.76614E-5
66	-8.38594E-5
68	-8.20885E-5
70	-7.97292E-5
72	-7.45573E-5
74	-7.15469E-5
76	-6.97552E-5
78	-6.78698E-5
80	-6.77656E-5
82	-6.57083E-5
84	-6.23489E-5
86	-5.97031E-5
88	-5.88594E-5
90	-5.90938E-5
92	-5.86458E-5
94	-5.57969E-5
96	-5.66927E-5
98	-5.61198E-5
100	-5.40104E-5
102	-5.33281E-5
104	-5.49739E-5
106	-5.46927E-5
108	-5.40521E-5
110	-5.31875E-5
112	-5.27448E-5
114	-5.21198E-5
116	-5.26771E-5
118	-5.39323E-5
120	-5.22656E-5
122	-4.9651E-5
124	-4.92188E-5
126	-4.99427E-5
128	-4.93489E-5
130	-4.92864E-5
132	-4.86198E-5
134	-4.62083E-5
136	-4.49792E-5
138	-4.37031E-5
140	-4.16354E-5
142	-4.04844E-5
144	-3.89271E-5
146	-3.86823E-5
